Comune;Provincia;Regione;Longitudine;Latitudine;Tipo;Nome
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5940657003;40.7430148001;Autobus;Via Buonarroti
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5964314991;40.7397364004;Autobus;Via Califano
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5962102002;40.7396348008;Autobus;Via Califano
SCALA;SALERNO;Campania;14.6041728005;40.6529172;Autobus;
SCALA;SALERNO;Campania;14.6086622;40.6545746005;Autobus;Scala
VALLO DELLA LUCANIA;SALERNO;Campania;15.2651846;40.2301663994;Autobus;
VIBONATI;SALERNO;Campania;15.5898081999;40.0754569002;Autobus;
VIBONATI;SALERNO;Campania;15.5925709998;40.0749273999;Autobus;Villammare
VIBONATI;SALERNO;Campania;15.5818534999;40.0806997999;Autobus;Villammare Pescheria San Raimondo
VIETRI SUL MARE;SALERNO;Campania;14.7308101002;40.6713764003;Autobus;
VIETRI SUL MARE;SALERNO;Campania;14.7274658998;40.6733368001;Autobus;
VIETRI SUL MARE;SALERNO;Campania;14.7259861991;40.6748803;Autobus;
VIETRI SUL MARE;SALERNO;Campania;14.7312062997;40.6709825001;Autobus;
VIETRI SUL MARE;SALERNO;Campania;14.7261151997;40.6748775007;Autobus;
BELLIZZI;SALERNO;Campania;14.9207919002;40.6200782997;Autobus;Aeroporto
